# CDEX heavy mediator
# https://arxiv.org/pdf/2206.04128
73.5776382780534	9.220740864636666e-36
80.00253427139933	6.195540608875727e-36
86.64236869605574	4.154701487519077e-36
93.83327817837585	2.7961718608416252e-36
102.02692324663	1.9355793556458813e-36
111.37918090267338	1.5493992160064146e-36
121.58870956603306	1.3005419711551673e-36
132.73409064528585	1.093442769886094e-36
144.90110868281482	9.163184966252672e-37
158.183411627227	7.96032918931053e-37
172.68323162938174	7.419477379492635e-37
188.5121719099027	6.93804146942798e-37
205.79206575458926	6.487845028620233e-37
224.6559142493042	6.066860986759516e-37
245.248909971959	5.968395565487146e-37
267.7295545208213	5.968395565487146e-37
292.2708784806138	5.968395565487146e-37
319.061773216324	5.861928403173823e-37
348.3084447453677	5.968395565487146e-37
380.23600087837127	6.116701206383346e-37
415.0901838445867	6.2686920190950345e-37
453.13926173773166	6.413955703006951e-37
494.6760933404677	6.692720874078074e-37
539.0985378313133	7.070366630482563e-37
589.5211374456562	7.3229852475995565e-37
643.5593598641456	7.70403306675177e-37
702.5509746152709	8.091657141436475e-37
766.9500324524231	8.554593649394699e-37
837.2522045121182	9.01446607029184e-37
913.9985974299923	9.655773653250923e-37
997.7799181678976	1.0342705171422069e-36
1089.2410206082309	1.1096649219534937e-36
1189.0858689100373	1.1925050168838075e-36
1298.0829558291925	1.2731688196883417e-36
1417.0712177067649	1.3328584804127035e-36
1546.966491652454	1.3976316585192478e-36
1688.768564623199	1.5267486039181363e-36
1843.568868652796	1.665066905954628e-36
2012.5588814617026	1.7747893904064184e-36
2197.0392971054234	1.891742229116748e-36
2398.430037246762	2.107485010800127e-36
2618.281180107392	2.3363349016711032e-36
2858.284891217464	2.5355216364859487e-36
3120.2884477926605	2.747191287516273e-36
3406.308456985641	2.9862885497145346e-36
3718.54637744789	3.2302988603248427e-36
4059.405463669409	3.505701450083698e-36
4431.509263514618	3.798363359127389e-36
4837.721811327587	4.135709456490982e-36
5281.169672030285	4.48830379653705e-36
5765.266005884406	4.870958944756526e-36
6293.736839140078	5.320951141396292e-36
6870.649742773229	5.7745945309659855e-36
7500.4451400480775	6.27717684073575e-36
8187.970483875056	6.857079202323021e-36
8938.51756702261	7.453873779898414e-36
9603.49717826933	8.012202409579539e-36
