,median,2ul,ul,dl,2dl,wimp_mass
0,1.0364539433754337e-41,2.6711919845099632e-40,5.467327957270066e-41,2.147518387569275e-42,5.1629578787529064e-43,3
1,4.277422346043862e-43,3.00058125592039e-42,1.2241415782979482e-42,1.5073299592880208e-43,5.061609152281919e-44,4
2,1.0384257222707112e-43,5.405997029668828e-43,2.5497477553215037e-43,4.1694901612880877e-44,1.6143799855160435e-44,5
3,4.820989574738944e-44,2.098631632829773e-43,1.0794301804209045e-43,1.919948626109457e-44,8.274328032597932e-45,6
4,1.9001669918396234e-44,7.907877279137322e-44,4.1613167274374425e-44,7.902027439554884e-45,3.682732590579005e-45,8
5,1.2065850017462688e-44,4.701478624043898e-44,2.5833832698283693e-44,4.9212063123499865e-45,2.18315070933789e-45,10
6,9.800428927759169e-45,3.7607607276087373e-44,2.087834474621125e-44,3.8786054328514746e-45,1.714098112312998e-45,12
