,median,2ul,ul,dl,2dl,wimp_mass
0,3.204939722742266e-42,6.266301168914212e-41,1.422440224104356e-41,8.406449611673845e-43,2.3693572770052894e-43,3
1,7.845298478597144e-44,4.448118071897102e-43,1.9403350986826347e-43,3.0692180899076226e-44,1.208193622542663e-44,4
2,1.3091884536217821e-44,5.514664106968387e-44,2.848087474039375e-44,5.1519515587365207e-45,2.264646757684486e-45,5
3,3.70326304981281e-45,1.5584443022614575e-44,7.91180464886168e-45,1.501609433618807e-45,7.050601553643541e-46,6
4,7.752863464579778e-46,2.9815900943261426e-45,1.6465403821912645e-45,3.288751222225008e-46,1.4923533625771385e-46,8
5,3.352931034223887e-46,1.3487272029968329e-45,7.025244935508785e-46,1.4553809786287505e-46,6.598825852180792e-47,10
6,2.298034407645595e-46,8.889060032315932e-46,4.813264867722283e-46,9.787584795102433e-47,4.1564675315179175e-47,12
