,median,2ul,ul,dl,2dl,wimp_mass
0,1.806322362564144e-42,3.099569287242661e-41,7.082598847469371e-42,4.804847968887891e-43,1.5003851742967676e-43,3
1,3.4283605955214776e-44,1.6900039811440394e-43,7.843618045304126e-44,1.337608578666378e-44,5.5342568374321744e-45,4
2,3.7816914089592447e-45,1.614238320222508e-44,8.646042449848762e-45,1.6135082179461762e-45,7.131916413199768e-46,5
3,8.665829749558849e-46,3.551480687193035e-45,1.9164011593637363e-45,3.5212023572702815e-46,1.6028332716018905e-46,6
4,1.2070917650624039e-46,4.8790573695794765e-46,2.610055023741676e-46,5.379856585461723e-47,2.2723735495464923e-47,8
5,4.66589589411141e-47,1.7640448779947406e-46,9.426586054544025e-47,1.9984103073897537e-47,9.046069800156686e-48,10
6,2.8544267464515756e-47,1.0542042139609544e-46,5.726067995482958e-47,1.218879744186841e-47,5.699912133353331e-48,12
