,median,2ul,ul,dl,2dl,wimp_mass
0,1.0451195152805885e-42,1.5710763092198498e-41,3.9653063739890347e-42,3.1910985198113407e-43,9.093971553509852e-44,3
1,1.2957173833774135e-44,6.220733572545336e-44,2.9741384215354547e-44,5.052264166136276e-45,2.201166739867113e-45,4
2,1.1043882181246332e-45,4.631612617117424e-45,2.378405129431548e-45,4.375096525329441e-46,1.9737873150035647e-46,5
3,1.786685475050678e-46,7.182085542657339e-46,3.89878812633769e-46,7.416490176255454e-47,3.0837882592679423e-47,6
4,1.793887305665638e-47,6.686152129399655e-47,3.6660030324537483e-47,7.876985305836893e-48,3.260205299229195e-48,8
5,5.93307996010963e-48,2.1743193156569636e-47,1.196037461651502e-47,2.430595409690048e-48,1.1285202728994542e-48,10
6,3.43655860517324e-48,1.2479925825109301e-47,7.072871581969942e-48,1.4826871695995938e-48,6.939951737853886e-49,12
