https://arxiv.org/pdf/2207.11967, fig 3.
m[GeV], sigma_N_SI[cm^2]
0.03890878492776267, 1.7799127911683117e-35
0.04079244567022976, 1.4813371260732842e-35
0.04327577337602712, 1.2328467394420735e-35
0.04618239391519977, 1.0260399582246981e-35
0.050463118151829696, 8.539244678135477e-36
0.0574694828788259, 5.9146605445917577e-36
0.06279642649023125, 4.5739043814781117e-36
0.06821282909091815, 3.669385170248879e-36
0.07814402526769013, 2.6366508987303447e-36
0.08742979439051628, 1.965445134802809e-36
0.0944113220898293, 1.635746909562041e-36
0.105007724771566, 1.2193388236249191e-36
0.1188825045878164, 9.089347246250055e-37
0.1378099836690175, 6.775494371392789e-37
0.15418579342270353, 5.0506733578383056e-37
0.17149107756389495, 3.905768864783815e-37
0.19762312158198364, 2.8065053162207995e-37
0.2172210483994337, 2.251500715508422e-37
0.24303318819061687, 1.6783416907532156e-37
0.2655603456373123, 1.3464387527642175e-37
0.29536592717547494, 1.0412232560483064e-37
0.3363749153139484, 7.761616010026613e-38
0.3808204824933519, 5.78576042526537e-38
0.4440680663455084, 4.1573805194399134e-38
0.4939087416473541, 2.987301843322699e-38
0.5759382962241605, 2.3101297000831392e-38
0.6676343796103662, 1.6599526262038178e-38
0.746968643314931, 1.2836686962504139e-38
0.835730110875023, 9.926821378641465e-39
0.9461559990601689, 7.676574412953515e-39
1.0217093543134705, 6.627833820735088e-39
1.1098352161363643, 5.5160322195643905e-39
1.2564788967771094, 4.111829402435795e-39
1.3892674442199253, 3.179745376408583e-39
1.5635653833477936, 2.5509301367577664e-39
1.7806528276329419, 1.8329807108324377e-39
2.0399004323668892, 1.3663632989971333e-39
2.2688518540135614, 1.0961561082945454e-39
2.508631083756445, 8.793841393671277e-40
2.873866007449859, 6.318848727549424e-40
3.234422158471883, 4.5404331797918785e-40
3.661789720041512, 3.5111917342151417e-40
4.096916190685484, 2.7152623783322888e-40
4.693391647747392, 1.9510622782707385e-40
5.313534364348343, 1.5087885831891217e-40
5.909907220289381, 1.2104158702167383e-40
6.730446398298031, 9.022832656197097e-41
7.574850362066589, 6.977505050101265e-41
8.425025562600128, 5.597658241361024e-41
9.708842435074782, 4.4906850746918086e-41
