https://arxiv.org/pdf/2601.11296, figure 4.d.
m [gev], sigma_e [cm^2]
0.04042637054753331, 1.343189052557857e-40
0.042057475690706406, 1.1420265768628585e-40
0.04450441124498187, 8.425979814884587e-41
0.04789978508334283, 5.617618652813151e-41
0.05068411903119441, 4.494293776898386e-41
0.05362764420854462, 3.898842218908997e-41
0.055792770748431565, 3.1834074455219756e-41
0.06038355665510049, 2.4453673649827285e-41
0.06760171352691675, 1.803438213113164e-41
0.07611051042322058, 1.3299634892340702e-41
0.08813743006139325, 1.0210973415759084e-41
0.10091320975820445, 8.852776118698049e-42
0.12155183464914994, 7.82915198436021e-42
0.15932663061781566, 7.060909491907727e-42
0.19850581079411111, 6.633724149439584e-42
0.2543760006064471, 6.756560152009115e-42
0.3186999554286183, 7.023603003139644e-42
0.3925749674396332, 7.91799782538446e-42
0.46749943441179814, 8.749672128291036e-42
0.5443052627493351, 9.868116077434778e-42
0.6445368082884065, 1.112808937933045e-41
0.7675396690855095, 1.2548397172253724e-41
0.9295918426322947, 1.4437468269340905e-41
1.1321942192620775, 1.7296475829643309e-41
1.3406664576335285, 1.9903764752095572e-41
1.7372634613510105, 2.4818673096715055e-41
2.0804178317027073, 2.9737280857932836e-41
2.6209655390908777, 3.634518278798654e-41
3.283402604625853, 4.4423335572122474e-41
4.136466405974704, 5.54048798647645e-41
5.009806767248962, 6.374568672267465e-41
5.799943233008478, 7.486769782457543e-41
6.867808447174684, 8.791507165511797e-41
8.041124250430213, 1.0324513573650453e-40
9.257258370216734, 1.1645267775380537e-40
9.904697889300811, 1.2367979922446437e-40

