MAp,eps,omegah2,xf,method,ncalls
7.2243962288e-02,1.8859466734e-04,1.2000000000e-01,1.8500000000e+01,refine,1
7.3074479076e-02,1.9051220548e-04,1.2000000000e-01,1.8500000000e+01,refine,1
7.3914543488e-02,1.9244924020e-04,1.2000000000e-01,1.8500000000e+01,refine,1
7.4764265282e-02,1.9440596975e-04,1.2000000000e-01,1.8500000000e+01,refine,1
7.5623755480e-02,1.9638259436e-04,1.1900000000e-01,1.8500000000e+01,refine,1
7.6493126380e-02,1.9837931632e-04,1.1900000000e-01,1.8600000000e+01,refine,1
7.7372491570e-02,2.0039633997e-04,1.1900000000e-01,1.8600000000e+01,refine,1
7.8261965945e-02,2.0243387173e-04,1.1900000000e-01,1.8600000000e+01,refine,1
7.9161665720e-02,2.0449212011e-04,1.1900000000e-01,1.8600000000e+01,refine,1
8.0071708446e-02,2.0657129576e-04,1.1900000000e-01,1.8600000000e+01,refine,1
8.0992213025e-02,2.0867161144e-04,1.1900000000e-01,1.8600000000e+01,refine,1
8.1923299728e-02,2.1079328210e-04,1.1900000000e-01,1.8600000000e+01,refine,1
8.2865090206e-02,2.1293652487e-04,1.1900000000e-01,1.8600000000e+01,refine,1
8.3817707510e-02,2.1510155908e-04,1.1900000000e-01,1.8600000000e+01,refine,1
8.4781276105e-02,2.1728860630e-04,1.1900000000e-01,1.8600000000e+01,refine,1
8.5755921887e-02,2.1949789035e-04,1.1900000000e-01,1.8700000000e+01,refine,1
8.6741772200e-02,2.2172963731e-04,1.1900000000e-01,1.8600000000e+01,refine,1
8.7738955850e-02,2.2398407557e-04,1.1900000000e-01,1.8600000000e+01,refine,1
8.8747603127e-02,2.2626143587e-04,1.1900000000e-01,1.8700000000e+01,refine,1
8.9767845815e-02,2.2856195124e-04,1.1900000000e-01,1.8700000000e+01,refine,1
9.0799817216e-02,2.3088585713e-04,1.1900000000e-01,1.8700000000e+01,refine,1
9.1843652164e-02,2.3323339136e-04,1.1900000000e-01,1.8700000000e+01,refine,1
9.2899487040e-02,2.3560479416e-04,1.1900000000e-01,1.8700000000e+01,refine,1
9.3967459798e-02,2.3800030822e-04,1.1900000000e-01,1.8700000000e+01,refine,1
9.5047709973e-02,2.4042017870e-04,1.1900000000e-01,1.8700000000e+01,refine,1
9.6140378707e-02,2.4286465323e-04,1.1900000000e-01,1.8700000000e+01,refine,1
9.7245608763e-02,2.4533398198e-04,1.1900000000e-01,1.8700000000e+01,refine,1
9.8363544548e-02,2.4782841766e-04,1.1900000000e-01,1.8700000000e+01,refine,1
9.9494332125e-02,2.5034821554e-04,1.1900000000e-01,1.8800000000e+01,refine,1
1.0063811924e-01,2.5289363348e-04,1.1900000000e-01,1.8800000000e+01,refine,1
