# moller_scan.py, channels = all, omega_fun = omega_of_gg
# alphaD = 0.1, mchi_over_ma = 0.6, Omega_target = 0.265
# 300 of 300 masses solved in 502 ODE integrations, 118 s
MAp,eps
0.0017,4.245958919e-06
0.001754134559,4.371266681e-06
0.001809992971,4.505728385e-06
0.001867630131,4.644326179e-06
0.00192710268,4.787187289e-06
0.001988469065,4.934442858e-06
0.002051789592,5.08622806e-06
0.002117126489,5.242682228e-06
0.002184543965,5.403948981e-06
0.002254108274,5.570176357e-06
0.002325887778,5.741516945e-06
0.002399953019,5.91812803e-06
0.002476376783,6.088562056e-06
0.002555234174,6.263904349e-06
0.002636602689,6.43457644e-06
0.002720562292,6.60989882e-06
0.002807195492,6.789998194e-06
0.002896587428,6.975004721e-06
0.002988825947,7.160844464e-06
0.003084001697,7.351635662e-06
0.00318220821,7.556952124e-06
0.003283541998,7.768002664e-06
0.003388102644,7.984947423e-06
0.003495992904,8.207951014e-06
0.003607318807,8.43718265e-06
0.003722189756,8.672816266e-06
0.003840718639,8.915030657e-06
0.003963021939,9.170138277e-06
0.004089219848,9.432545917e-06
0.004219436386,9.70246247e-06
0.00435379952,9.980102807e-06
0.004492441295,1.026568795e-05
0.004635497959,1.056933209e-05
0.004783110099,1.088195758e-05
0.00493542278,1.120383008e-05
0.005092585683,1.15352231e-05
0.00525475326,1.18887174e-05
0.005422084879,1.225304446e-05
0.005594744981,1.262853623e-05
0.005772903248,1.301553487e-05
0.005956734761,1.342341003e-05
0.006146420178,1.384406701e-05
0.006342145912,1.426926493e-05
0.006544104307,1.470752212e-05
0.006752493838,1.516892709e-05
0.006967519295,1.564480728e-05
0.007189391992,1.612651037e-05
0.007418329972,1.662304507e-05
0.00765455822,1.714470277e-05
0.007898308888,1.768273092e-05
0.008149821517,1.823764325e-05
0.008409343278,1.879587843e-05
0.008677129214,1.93712006e-05
0.008953442487,1.998446118e-05
0.009238554641,2.06171366e-05
0.009532745866,2.124988489e-05
0.009836305275,2.190205248e-05
0.01014953119,2.259541866e-05
0.01047273142,2.331073514e-05
0.01080622359,2.40280062e-05
0.01115033545,2.476734768e-05
0.01150540515,2.555183803e-05
0.01187178164,2.636117662e-05
0.01224982497,2.717967043e-05
0.01263990666,2.803968333e-05
0.01304241006,2.892690856e-05
0.01345773072,2.987140827e-05
0.01388627679,3.084674707e-05
0.01432846942,3.185393191e-05
0.01478474317,3.289400259e-05
0.01525554644,3.399695285e-05
0.0157413419,3.513688552e-05
0.01624260696,3.628371766e-05
0.01675983423,3.746798124e-05
0.01729353202,3.872461567e-05
0.0178442248,4.002339623e-05
0.01841245377,4.132841332e-05
0.01899877734,4.267598225e-05
0.01960377171,4.410593174e-05
0.02022803144,4.558379472e-05
0.02087217001,4.706834132e-05
0.02153682043,4.860123578e-05
0.02222263589,5.022820412e-05
0.02293029036,5.190963662e-05
0.02366047927,5.359812508e-05
0.02441392022,5.534153577e-05
0.02519135364,5.719436102e-05
0.02599354353,5.910921856e-05
0.02682127825,6.104056618e-05
0.02767537124,6.303501907e-05
0.02855666184,6.516745157e-05
0.02946601613,6.737202283e-05
0.03040432777,6.958991739e-05
0.03137251888,7.188082529e-05
0.03237154092,7.432091003e-05
0.03340237569,7.684382651e-05
0.0344660362,7.93726811e-05
0.03556356778,8.19847578e-05
0.03669604899,8.476860326e-05
0.03786459278,8.764697599e-05
0.0390703475,9.052748648e-05
0.04031449811,9.35026647e-05
0.04159826728,9.667785733e-05
0.04292291661,9.996087414e-05
0.04428974788,0.0001032410416
0.04570010434,0.0001066890036
0.04715537199,0.0001102521178
0.04865698097,0.0001139342301
0.05020640698,0.0001177393146
0.05180517269,0.0001216714784
0.05345484927,0.0001257349653
0.05515705791,0.0001299341614
0.05691347145,0.0001342735989
0.05872581597,0.0001387579614
0.06059587253,0.0001433920892
0.06252547891,0.0001481809838
0.0645165314,0.0001531298141
0.06657098669,0.0001582439215
0.06869086375,0.0001635288257
0.07087824589,0.000168990231
0.07313528271,0.0001746340319
0.07546419229,0.00018046632
0.07786726333,0.0001864933902
0.08034685743,0.0001927217477
0.08290541138,0.0001991581149
0.08554543955,0.000205930371
0.0882695364,0.0002128140863
0.09108037901,0.0002199279064
0.0939807297,0.0002272795229
0.09697343874,0.0002348768848
0.1000614472,0.0002427282066
0.1032477897,0.0002508419777
0.1065355977,0.000259226971
0.1099281022,0.0002678922528
0.1134286371,0.0002768471924
0.1170406426,0.0002861014722
0.1207676682,0.0002956650985
0.1246133767,0.0003055484118
0.1285815474,0.0003157620986
0.13267608,0.0003263172023
0.1369009983,0.0003372251355
0.1412604543,0.0003484976926
0.1457587322,0.0003601470618
0.1504002526,0.0003719220798
0.1551895769,0.0003840820822
0.1601314118,0.000395195617
0.1652306138,0.0004030439291
0.1704921941,0.0004004131342
0.1759213233,0.000380290907
0.181523337,0.0003718643521
0.1873037404,0.0003725060388
0.1932682142,0.0003765832571
0.1994226198,0.000382807563
0.2057730055,0.0003905295078
0.2123256119,0.0003994191913
0.2190868786,0.000409270984
0.2260634501,0.0004199255143
0.2332621826,0.000431170011
0.2406901505,0.0004427156057
0.2483546536,0.000453387975
0.256263224,0.0004653148923
