MAp,eps,omegah2,xf,method,ncalls
2.5950242114e+00,4.4573967698e-03,1.2000000000e-01,2.1700000000e+01,refine,1
2.7185882427e+00,4.6567206218e-03,1.2000000000e-01,2.1700000000e+01,refine,1
2.8480358684e+00,4.7741876570e-03,1.2000000000e-01,2.1800000000e+01,refine,2
2.9836472403e+00,4.6636413355e-03,1.2100000000e-01,2.1800000000e+01,refine,2
3.1257158497e+00,4.7219601039e-03,1.2000000000e-01,2.1900000000e+01,refine,2
3.2745491629e+00,4.8251140862e-03,1.2000000000e-01,2.1900000000e+01,refine,2
3.4304692863e+00,4.9760067630e-03,1.2000000000e-01,2.1900000000e+01,refine,2
3.5938136638e+00,5.1316182089e-03,1.2100000000e-01,2.2000000000e+01,refine,1
3.7649358068e+00,5.3409168369e-03,1.2000000000e-01,2.2000000000e+01,refine,2
3.9442060594e+00,5.5587519369e-03,1.1900000000e-01,2.2100000000e+01,refine,1
4.1320124001e+00,5.7317024832e-03,1.2000000000e-01,2.2100000000e+01,refine,2
4.3287612811e+00,5.9100340740e-03,1.2100000000e-01,2.2200000000e+01,refine,1
4.5348785081e+00,6.0939141308e-03,1.2100000000e-01,2.2300000000e+01,refine,1
4.7508101621e+00,6.2835152840e-03,1.2100000000e-01,2.2300000000e+01,refine,1
4.9770235643e+00,6.4790155354e-03,1.2000000000e-01,2.2300000000e+01,refine,1
5.2140082880e+00,6.6805984247e-03,1.1900000000e-01,2.2400000000e+01,refine,1
5.4622772177e+00,6.7922422273e-03,1.2000000000e-01,2.2400000000e+01,refine,2
5.7223676594e+00,6.9057517817e-03,1.2100000000e-01,2.2300000000e+01,refine,1
5.9948425032e+00,7.0859301247e-03,1.2000000000e-01,2.2300000000e+01,refine,2
6.2802914418e+00,7.2708095106e-03,1.2000000000e-01,2.2200000000e+01,refine,1
6.5793322466e+00,7.4605125945e-03,1.2100000000e-01,2.2100000000e+01,refine,1
6.8926121043e+00,7.7257859540e-03,1.2000000000e-01,2.2000000000e+01,refine,2
7.2208090184e+00,8.0004916353e-03,1.2000000000e-01,2.2000000000e+01,refine,1
7.5646332755e+00,8.2849650233e-03,1.2000000000e-01,2.1900000000e+01,refine,1
7.9248289835e+00,8.5795534283e-03,1.2000000000e-01,2.1900000000e+01,refine,1
8.3021756813e+00,8.8846165097e-03,1.2100000000e-01,2.1900000000e+01,refine,1
8.6974900262e+00,9.2854037654e-03,1.2000000000e-01,2.1900000000e+01,refine,2
9.1116275612e+00,9.7042706338e-03,1.1900000000e-01,2.1900000000e+01,refine,1
9.5454845666e+00,1.0047774354e-02,1.2000000000e-01,2.1900000000e+01,refine,2
1.0000000000e+01,1.0499411319e-02,1.2000000000e-01,2.1900000000e+01,refine,2
