# moller_scan.py, channels = all, omega_fun = omega_of_gg
# alphaD = 0.3, mchi_over_ma = 0.55, Omega_target = 0.265
# 300 of 300 masses solved in 509 ODE integrations, 129 s
MAp,eps
0.01,7.717186509e-06
0.0102574695,7.910448831e-06
0.01052156805,8.108551041e-06
0.01079246633,8.311614347e-06
0.01107033941,8.519762988e-06
0.01135536688,8.733124318e-06
0.01164773294,8.951828878e-06
0.01194762653,9.17601048e-06
0.01225524147,9.405806285e-06
0.01257077655,9.641356892e-06
0.0128944357,9.888733006e-06
0.01322642809,1.014245625e-05
0.01356696827,1.039592714e-05
0.01391627631,1.066182959e-05
0.01427457798,1.093453318e-05
0.01464210482,1.122081136e-05
0.01501909435,1.151458462e-05
0.01540579022,1.181604919e-05
0.01580244232,1.212540644e-05
0.016209307,1.244987654e-05
0.01662664721,1.278302931e-05
0.01705473266,1.312509709e-05
0.01749384,1.346664463e-05
0.01794425302,1.381708009e-05
0.0184062628,1.419113585e-05
0.01888016792,1.457531805e-05
0.01936627465,1.495414748e-05
0.01986489714,1.534282312e-05
0.02037635765,1.575874805e-05
0.0209009867,1.617670493e-05
0.02143912335,1.660574694e-05
0.02199111538,1.70461681e-05
0.02255731951,1.74982702e-05
0.02313810168,1.796236306e-05
0.02373383722,1.843876468e-05
0.02434491113,1.892780152e-05
0.02497171833,1.942980871e-05
0.0256146639,1.994513024e-05
0.02627416336,2.047411923e-05
0.02695064292,2.101713819e-05
0.02764453976,2.157455921e-05
0.02835630233,2.214676426e-05
0.02908639061,2.273414547e-05
0.02983527645,2.333710532e-05
0.0306034438,2.396969725e-05
0.03139138913,2.461943667e-05
0.03219962164,2.527099418e-05
0.03302866367,2.593979527e-05
0.03387905101,2.664651206e-05
0.03475133323,2.737248299e-05
0.03564607405,2.809678878e-05
0.03656385172,2.884026049e-05
0.03750525937,2.962754961e-05
0.03847090539,3.043633036e-05
0.03946141385,3.124024206e-05
0.04047742488,3.206538739e-05
0.04151959509,3.294218111e-05
0.04258859801,3.384294982e-05
0.0436851245,3.473481234e-05
0.0448098832,3.565017809e-05
0.045963601,3.662678627e-05
0.04714702351,3.763014786e-05
0.04836091555,3.861915817e-05
0.0496060616,3.965717543e-05
0.05088326637,4.072309283e-05
0.05219335526,4.181766027e-05
0.05353717494,4.294164783e-05
0.05491559389,4.409584626e-05
0.05632950291,4.528106758e-05
0.05777981578,4.649814563e-05
0.05926746978,4.774793667e-05
0.06079342634,4.903131996e-05
0.06235867162,5.034919841e-05
0.06396421719,5.17024992e-05
0.06561110066,5.309217441e-05
0.06730038636,5.451920172e-05
0.06903316601,5.59845851e-05
0.07081055945,5.748935549e-05
0.07263371536,5.903457155e-05
0.07450381196,6.062132038e-05
0.07642205785,6.225071833e-05
0.07838969272,6.392391172e-05
0.08040798818,6.56420777e-05
0.08247824859,6.740642506e-05
0.0846018119,6.921819507e-05
0.08678005048,7.107866238e-05
0.08901437206,7.298913589e-05
0.09130622061,7.495095967e-05
0.09365707727,7.696551394e-05
0.09606846131,7.9034216e-05
0.09854193113,8.115852125e-05
0.1010790853,8.333992421e-05
0.1036815634,8.557995957e-05
0.1063510474,8.788020327e-05
0.1090892624,9.024227361e-05
0.1118979781,9.271955432e-05
0.1147790097,9.52115186e-05
0.1177342191,9.777045781e-05
0.1207655161,0.000100398172
0.1238748598,0.0001030965096
0.1270642595,0.0001058673687
0.1303357766,0.0001087126984
0.1336915253,0.0001116345002
0.1371336742,0.0001146348294
0.140664448,0.0001177157965
0.1442861285,0.0001208795688
0.1480010561,0.0001241283719
0.1518116319,0.0001274644909
0.1557203183,0.0001308902727
0.1597296415,0.000134408127
0.1638421925,0.0001380205284
0.1680606291,0.0001416488864
0.1723876777,0.000145250799
0.1768261345,0.0001485347029
0.1813788681,0.0001507329361
0.1860488207,0.00015003312
0.1908390103,0.0001440342584
0.1957525326,0.0001391550775
0.2007925632,0.0001383280331
0.2059623592,0.000138887066
0.2112652617,0.0001401623323
0.2167046977,0.0001419616132
0.2222841826,0.0001441489867
0.2280073223,0.0001466486217
0.2338778153,0.0001494106549
0.2398994556,0.000152399815
0.2460761348,0.0001555859049
0.2524118446,0.0001589323272
0.2589106796,0.0001623507261
0.2655768398,0.0001657439161
0.2724146333,0.0001689435194
0.2794284791,0.000172563105
0.2866229101,0.0001762602397
0.2940025757,0.0001800365848
0.3015722452,0.0001838938375
0.3093368106,0.0001877102831
0.3173012898,0.0001916059334
0.3254708301,0.0001958427088
0.3338507112,0.0001999706516
0.3424463486,0.0002040489977
0.3512632974,0.0002082105207
0.3603072558,0.0002122780479
0.3695840686,0.0002166691091
0.3790997309,0.0002208218936
0.3888603926,0.0002251931377
0.3988723615,0.0002294452205
0.4091421081,0.0002337775909
0.4196762693,0.0002375007063
0.430481653,0.0002412831156
0.4415652424,0.0002453799074
0.4529342004,0.0002491182873
0.4645958744,0.0002517607561
0.476557801,0.0002538067873
0.4888277106,0.000255349384
0.501413533,0.0002569013564
0.514323402,0.0002570481856
0.5275656606,0.0002553640254
0.5411488671,0.0002517053459
0.5550817997,0.0002469459799
0.5693734628,0.0002399776045
0.5840330926,0.000231281416
0.5990701631,0.000220671684
0.6144943924,0.0002087081402
0.6303157485,0.000197221531
0.6465444563,0.0001870588881
0.6631910038,0.0001793827302
0.6802661491,0.0001744225715
0.6977809273,0.000174599787
0.7157466577,0.0002250279742
0.7341749508,0.0002608620013
0.7530777162,0.000293229192
0.7724671701,0.0003254350756
0.7923558434,0.0003550349441
0.8127565893,0.0003806095331
0.8336825922,0.0003968205544
0.8551473758,0.0003916753032
0.8771648122,0.0003492594767
0.8997491304,0.0002814871649
0.9229149258,0.0002987862515
0.9466771698,0.0004740525703
0.9710512192,0.0004970648019
0.9960528259,0.0005126024296
1.021698148,0.0005245525868
1.048003758,0.0005351176478
