MAp,eps,omegah2,xf,method,ncalls
2.5950242114e+00,6.3095175338e-03,1.2000000000e-01,2.1700000000e+01,refine,2
2.7185882427e+00,6.5829454802e-03,1.2100000000e-01,2.1700000000e+01,refine,1
2.8480358684e+00,6.8682226435e-03,1.2100000000e-01,2.1700000000e+01,refine,1
2.9836472403e+00,7.2319693070e-03,1.2000000000e-01,2.1800000000e+01,refine,2
3.1257158497e+00,7.5442079514e-03,1.2000000000e-01,2.1800000000e+01,refine,2
3.2745491629e+00,7.8699274288e-03,1.2100000000e-01,2.1900000000e+01,refine,1
3.4304692863e+00,8.2097097712e-03,1.2100000000e-01,2.1900000000e+01,refine,1
3.5938136638e+00,8.5641621396e-03,1.2100000000e-01,2.2000000000e+01,refine,1
3.7649358068e+00,8.9339179092e-03,1.2100000000e-01,2.2000000000e+01,refine,1
3.9442060594e+00,9.3196378007e-03,1.2100000000e-01,2.2100000000e+01,refine,1
4.1320124001e+00,9.7220110616e-03,1.2100000000e-01,2.2100000000e+01,refine,1
4.3287612811e+00,1.0141756697e-02,1.1900000000e-01,2.2200000000e+01,refine,1
4.5348785081e+00,1.0481299513e-02,1.2000000000e-01,2.2300000000e+01,refine,2
4.7508101621e+00,1.0832210116e-02,1.2000000000e-01,2.2300000000e+01,refine,1
4.9770235643e+00,1.1194869094e-02,1.1900000000e-01,2.2300000000e+01,refine,1
5.2140082880e+00,1.1408076289e-02,1.2000000000e-01,2.2400000000e+01,refine,2
5.4622772177e+00,1.1625344032e-02,1.2100000000e-01,2.2300000000e+01,refine,1
5.7223676594e+00,1.1956038744e-02,1.2000000000e-01,2.2300000000e+01,refine,2
5.9948425032e+00,1.2296140402e-02,1.1900000000e-01,2.2300000000e+01,refine,1
6.2802914418e+00,1.2645916598e-02,1.1900000000e-01,2.2200000000e+01,refine,1
6.5793322466e+00,1.3005642532e-02,1.1900000000e-01,2.2100000000e+01,refine,1
6.8926121043e+00,1.3375601235e-02,1.2000000000e-01,2.2000000000e+01,refine,1
7.2208090184e+00,1.3756083790e-02,1.2100000000e-01,2.2000000000e+01,refine,1
7.5646332755e+00,1.4342802401e-02,1.2000000000e-01,2.1900000000e+01,refine,2
7.9248289835e+00,1.4954545485e-02,1.1900000000e-01,2.1900000000e+01,refine,1
8.3021756813e+00,1.5447467427e-02,1.2000000000e-01,2.1900000000e+01,refine,2
8.6974900262e+00,1.5956636740e-02,1.2100000000e-01,2.1900000000e+01,refine,1
9.1116275612e+00,1.6710257079e-02,1.2000000000e-01,2.1900000000e+01,refine,2
9.5454845666e+00,1.7499470358e-02,1.1900000000e-01,2.1900000000e+01,refine,1
1.0000000000e+01,1.8155639256e-02,1.2000000000e-01,2.1900000000e+01,refine,2
